analysis             sr                         o          b          db                  s                     ds                    s95obs    s95exp    robscons                rexpcons                
atlas_1712_08119     SRI-MT2-999                277.0      289.0      33.0                0                     0.0                   59.0      66.0      0.0                     0.0                     
atlas_1712_08119     SRM-MLL-03                 1.0        1.1        0.6                 0                     0.0                   3.6       3.6       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-05                 2.0        1.3        0.6                 0                     0.0                   4.6       4.1       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-10                 7.0        4.9        1.3                 0                     0.0                   8.5       6.6       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-20                 12.0       13.1       2.2                 0                     0.0                   8.5       9.4       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-30                 2.0        4.2        1.0                 0                     0.0                   3.9       5.5       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-40                 2.0        1.4        0.6                 0                     0.0                   4.4       4.1       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-60                 2.0        1.6        0.6                 0                     0.0                   4.4       4.2       0.0                     0.0                     
atlas_1712_08119     SRM-MT2-102                5.0        6.8        1.5                 0                     0.0                   5.7       6.8       0.0                     0.0                     
atlas_1712_08119     SRM-MT2-105                16.0       15.0       2.1                 0                     0.0                   11.0      10.0      0.0                     0.0                     
atlas_1712_08119     SRM-MT2-110                60.0       57.0       5.0                 0                     0.0                   21.0      19.0      0.0                     0.0                     
atlas_1712_08119     SRM-MT2-120                42.0       53.0       4.0                 0                     0.0                   10.0      17.0      0.0                     0.0                     
atlas_1712_08119     SRM-MT2-130                32.0       24.9       2.9                 0                     0.0                   19.2      13.1      0.0                     0.0                     
atlas_1712_08119     SRM-MT2-999                13.0       11.0       1.4                 0                     0.0                   10.0      8.0       0.0                     0.0                     
atlas_1802_03158     SRaaSH                     0.0        0.48       0.2761340254296815  0                     0.0                   2.97      2.9       0.0                     0.0                     
atlas_1802_03158     SRaaSL                     0.0        0.5        0.280713376952364   0                     0.0                   3.0       2.9       0.0                     0.0                     
atlas_1802_03158     SRaaWH                     1.0        2.05       0.6400781202322104  0                     0.0                   3.53      4.4       0.0                     0.0                     
atlas_1802_03158     SRaaWL                     6.0        3.7        1.0999999999999999  0                     0.0                   8.1       6.2       0.0                     0.0                     
atlas_1802_03158     SRajH                      3.0        1.14       0.5008492787256461  0.28545879342899305   0.16483209654265293   6.29      4.12      0.002406065993488435    0.0036733386162723924   
atlas_1802_03158     SRajL                      4.0        1.33       0.4438468204234429  0.09495119287259418   0.09495140143144233   7.19      4.2       0                       0                       
atlas_1802_03158     SRajL200                   8.0        2.68       0.6350196847342607  0.09495119287259418   0.09495140143144233   11.45     5.56      0                       0                       
atlas_1803_02762     S-2l0j-DF-100              78.0       68.0       6.999999999999999   0                     0.0                   31.0      23.0      0.0                     0.0                     
atlas_1803_02762     S-2l0j-DF-150              11.0       11.5       3.1                 0                     0.0                   9.4       9.4       0.0                     0.0                     
atlas_1803_02762     S-2l0j-DF-200              6.0        2.1        1.9                 0                     0.0                   10.5      8.1       0.0                     0.0                     
atlas_1803_02762     S-2l0j-DF-300              2.0        0.6        0.6                 0                     0.0                   5.4       4.2       0.0                     0.0                     
atlas_1803_02762     S-2l0j-SF-loose            153.0      133.0      21.999999999999996  0                     0.0                   61.0      48.0      0.0                     0.0                     
atlas_1803_02762     S-2l0j-SF-tight            9.0        9.8        2.9                 0                     0.0                   8.4       9.0       0.0                     0.0                     
atlas_1803_02762     S-2lj-SR2-high             0.0        1.6        1.372953021774598   0                     0.0                   2.9       3.6       0.0                     0.0                     
atlas_1803_02762     S-2lj-SR2-int              2.0        4.1        2.23606797749979    0                     0.0                   4.5       5.5       0.0                     0.0                     
