SR           obs     bkg     bkg_err  S95_obs  S95_exp  
1m1e1g2b1j   1       0.7     0.3      3.7      3.1      
1m1e1g2b2j   0       0.2     0.1      3.0      2.9      
2m1g         132     118     30       63       56       
2m1g1j       43      43      9        21       21       
2m1g2j       21      10.4    2.6      20.0     11.5     
2m1g3j       4       2.65    0.7      6.52     5.14     
2m1g4j       0       0.4     0.12     2.9      2.9      
2m1g1b       8       5.6     1.5      9.2      7.0      
2m1g1b1j     2       2.9     0.9      4.3      5.0      
2m1g1b2j     1       1.1     0.3      3.3      3.8      
2m1g1b3j     0       0.36    0.11     2.94     2.93     
2m1g2b       2       0.9     0.3      4.8      3.6      
2m1g2b1j     1       0.6     0.2      3.7      3.0      
2m1g2b2j     0       0.22    0.22     2.99     2.81     
2m2g         0       0.5     0.14     2.9      2.9      
2m2g2j       1       0.1     0.1      4.0      3.1      
2m1e1g1j     1       0.1     0.1      4.0      2.9      
MET1e1j      2842    2840    500      816      815      
MET1e2j      1238    1238    300      467      467      
MET1e3j      291     305     100      136      143      
MET1e4j      72      75      25       38       39       
MET1e5j      14      16.9    6        10.8     12.0     
MET1e6j      1       3       1.5      4        5        
MET1e7j      0       0.7     0.3      2.9      3.0      
MET1e8j      0       0.1     0.2      3.0      2.9      
MET1e1b      161     185     34       46       56       
MET1e1b1j    230     267     48       59       76       
MET1e1b2j    102     115     21       32       38       
MET1e1b3j    58      48      10       31       25       
MET1e1b4j    9       15      3.2      6        10       
MET1e1b5j    5       3.4     1.2      7.5      5.8      
MET1e1b6j    0       0.6     0.3      3.0      2.9      
MET1e1b7j    0       0.11    0.08     2.93     2.92     
MET1e2b      21      17.3    6.8      17.9     15.7     
MET1e2b1j    24      17.3    7.4      21.6     17.6     
MET1e2b2j    20      20      4        12       12       
MET1e2b3j    4       8       1.7      5        7        
MET1e2b4j    4       2.4     0.5      6.6      4.9      
MET1e2b5j    1       0.5     0.2      3.8      3.1      
MET1e3b      2       0.7     0.6      5.1      4.2      
MET1e3b1j    3       1.9     0.7      5.6      4.6      
MET1e3b2j    1       1.2     0.5      3.6      3.9      
MET1e3b3j    0       0.5     0.25     3.0      2.9      
MET1e3b4j    0       0.12    0.12     2.86     2.86     
MET1e4b1j    1       0.1     0.1      4.0      2.9      
MET1e1g      3       3.7     0.9      4.8      5.4      
MET1e1g1j    6       9.5     2.6      6.1      8.1      
MET1e1g2j    6       4.7     1.1      7.5      6.3      
MET1e1g3j    3       0.95    0.4      6.18     3.83     
MET1e1g4j    1       0.33    0.11     3.63     3.0      
MET1e1g1b    0       0.64    0.46     3.16     2.97     
MET1e1g1b1j  1       1.33    .7       3.89     3.94     
MET1e1g1b2j  0       0.4     0.1      2.9      2.9      
MET1e1g1b3j  0       0.13    0.19     2.92     3.1      
MET1e1g2b2j  0       0.13    0.06     2.96     2.9      
MET2e        7       7.2     1.7      7.2      7.4      
MET2e1j      15      16.5    3.4      9.9      10.7     
MET2e2j      6       7.3     1.2      6.1      7.5      
MET2e3j      2       1.9     0.9      4.8      4.6      
MET2e4j      0       0.55    0.12     2.92     2.94     
MET2e1b      6       8.9     1.4      5.6      7.5      
MET2e1b1j    7       6.1     0.9      7.5      6.5      
MET2e1b2j    1       1.8     1.0      3.5      4.3      
MET2e1b3j    2       0.7     0.6      5.2      4.2      
MET2e1b4j    0       0.2     0.2      3.0      2.8      
MET2e2b      0       0.8     0.6      3.1      3.1      
MET2e2b1j    0       0.46    0.3      3.05     2.89     
MET2e2b2j    0       0.43    0.3      3.06     2.89     
MET2e2b3j    0       0.13    0.07     2.96     2.92     
MET3e        0       0.2     0.35     3.1      2.9      
MET3e1j      0       0.3     0.1      3.0      2.9      
MET3e2j      1       0.13    0.08     3.91     3.11     
MET1m1j      3277    2840    600      1319     1096     
MET1m2j      1428    1210    290      636      527      
MET1m3j      320     290     96       167      155      
MET1m4j      89      75      27       55       49       
MET1m5j      21      16.5    5.4      17.0     14.1     
MET1m6j      6       2.8     0.9      8.9      5.6      
MET1m7j      0       0.5     0.26     3.0      2.9      
MET1m1b      194     173     31       79       64       
MET1m1b1j    265     240     37       92       75       
